#{"t_start": 1736703438.6799467, "env_id": "CustomHopper-source-v0"}
r,l,t
8.291123,16,0.814806
5.727567,12,0.821314
49.025553,35,0.841227
19.061194,18,0.854361
7.653439,13,0.864514
5.092757,24,0.877695
6.899568,13,0.887851
7.592603,14,0.895563
8.306427,20,0.906679
13.996449,16,0.916581
5.114248,15,0.924779
13.358254,29,0.940506
15.252505,19,0.95095
7.561612,12,0.957479
5.96821,9,0.962444
8.243112,10,0.967749
14.348933,17,0.976932
8.633391,11,0.982889
9.215927,12,0.989327
10.088697,15,0.997427
8.999669,24,1.010572
7.380655,10,1.015829
12.058952,16,1.02431
10.627016,15,1.032197
25.085676,23,1.044257
15.486759,20,1.054892
5.184686,8,1.059199
7.107743,23,1.071529
6.519475,18,1.081178
9.543397,27,1.095747
10.764261,24,1.109829
8.561456,13,1.117028
6.708211,10,1.122407
7.06449,11,1.128257
12.405202,14,1.139558
67.988323,44,1.168326
18.2924,22,1.183423
9.889549,12,1.190952
30.523967,33,1.209101
11.771996,19,1.219627
12.845275,14,1.227337
7.386199,11,1.233409
20.994433,23,1.246077
5.159358,9,1.251057
17.516525,22,1.263172
15.709916,15,1.271293
16.417799,16,1.279993
8.224649,31,1.296877
11.287188,18,1.306658
12.805913,25,1.320137
15.795611,17,1.329116
7.689986,13,1.336162
4.867564,9,1.34094
7.425992,11,1.347174
28.073652,27,1.362981
8.967095,13,1.371036
3.345948,19,1.381649
11.071177,20,1.392437
22.207762,24,1.405298
11.812843,15,1.413428
24.07874,35,1.432534
11.876824,15,1.440706
7.833866,11,1.446653
9.774876,13,1.453708
8.728651,22,1.465697
10.532035,12,1.472207
6.139502,11,1.478131
6.13861,11,1.484222
9.690145,14,1.491831
6.344794,9,1.496664
8.208179,11,1.502519
26.646835,28,1.517618
9.642083,12,1.523896
6.536147,13,1.530798
15.363761,20,1.541643
75.564109,59,1.57234
6.870175,15,1.580325
9.73487,15,1.588216
13.521428,19,1.598306
9.560565,12,1.604566
6.448847,9,1.609283
4.67117,8,1.613456
8.514154,12,1.619704
12.405968,16,1.628163
6.417114,9,1.632873
4.741059,8,1.637054
14.475262,24,1.649685
17.260044,20,1.66043
7.828974,10,1.66571
3.755601,18,1.675278
10.583397,20,1.686703
36.136011,29,1.702069
6.882944,23,1.714276
7.806018,13,1.721117
11.398411,14,1.728519
11.127768,15,1.736498
10.898419,15,1.744451
22.935866,27,1.758997
11.53863,17,1.768389
7.723241,10,1.773773
10.700744,26,1.787449
11.333606,18,1.796977
18.712155,23,1.809201
5.464072,9,1.813904
5.156027,13,1.820825
20.430415,47,1.845647
21.130996,20,1.85613
6.415372,24,1.868993
27.458996,31,1.88537
8.45359,13,1.892431
34.096214,43,1.915226
7.263892,20,1.925829
5.207837,28,2.913511
31.983641,38,2.933986
45.443267,39,2.954785
6.974771,27,2.969123
18.980416,20,2.979895
31.776326,44,3.003265
70.921699,40,3.024506
92.662049,53,3.052594
18.204664,21,3.063884
15.785601,18,3.073833
45.935049,30,3.089932
24.666124,33,3.107942
6.669744,10,3.113524
15.737919,21,3.125298
23.393586,26,3.139855
20.078679,21,3.151687
7.201169,10,3.157223
143.993414,92,3.209353
18.601443,29,3.225923
34.568501,31,3.243775
16.091593,28,3.259873
7.373304,9,3.265053
7.882693,13,3.272663
46.37184,41,3.29664
11.909636,21,3.308881
27.766603,26,3.324167
36.444321,32,3.342886
38.180419,37,3.364734
11.966692,13,3.372301
7.999964,19,3.383541
14.471011,17,3.393687
5.278784,8,3.398615
26.672986,32,3.419577
93.981462,52,3.452424
85.333945,49,3.482442
10.093252,17,3.493311
35.371899,33,3.515054
26.528228,22,3.529444
10.658109,17,3.540419
10.995155,15,3.550414
34.601453,29,3.56938
4.854561,8,3.574528
79.411309,69,3.617346
25.883069,22,3.631088
51.595174,43,3.657811
27.421856,29,3.6759
32.007641,31,3.695236
6.930036,11,3.702133
7.993034,12,3.709535
114.293473,56,3.743973
107.661197,81,3.793425
14.558124,22,3.807139
12.020452,13,3.815243
28.221206,22,3.828918
7.071211,29,3.847556
11.78659,14,3.85638
